Player Name,Salary,Position,Age,GP,MP,GS,FG,FG%,2PA,2P%,AST,AST%
Gary Payton II,8.3,SG,30,22,16.7,1,1.9,0.594,2,0.651,1.4,11
Dewayne Dedmon,8.283688,C,33,38,11.2,1,2,0.51,2.9,0.58,0.7,9.5
De'Anthony Melton,8.25,SG,24,77,27.9,58,3.6,0.425,3.2,0.484,2.6,12.9
JaMychal Green,8.2,PF,32,57,14,1,2.4,0.54,2.5,0.667,0.9,8.9
Keegan Murray,8.00844,SF,22,80,29.8,78,4.4,0.453,3.5,0.527,1.2,5.5
Kevon Looney,8,C,26,82,23.9,70,3,0.63,4.7,0.632,2.5,13.8
Thaddeus Young,8,PF,34,54,14.7,9,2,0.545,3,0.622,1.4,12.9
Delon Wright,7.804878,PG,30,50,24.4,14,2.8,0.474,3.4,0.564,3.9,20.9
Patrick Williams,7.7754,PF,21,82,28.3,65,3.8,0.464,4.9,0.498,1.2,5.8
Scottie Barnes,7.6446,SF,21,77,34.8,76,6,0.456,10.3,0.505,4.8,20
Cedi Osman,7.426088,SF,27,77,20.1,2,3.1,0.451,2.8,0.564,1.5,10.6
Coby White,7.413955,SG,22,74,23.4,2,3.6,0.443,3.4,0.54,2.8,16.3
Zach Collins,7.35,C,25,63,22.9,26,4.5,0.518,6.4,0.571,2.9,18
Jaden Ivey,7.2522,SG,20,74,31.1,73,5.5,0.416,8.6,0.457,5.2,26.2
Taurean Prince,7.1,PF,28,54,22.1,4,3.3,0.467,3.4,0.557,1.6,9.6
Jae'Sean Tate,7.065217,SF,27,31,21.8,7,3.5,0.48,5.9,0.53,2.7,18.2
Isaac Okoro,7.04088,SF,22,76,21.7,46,2.3,0.494,2.4,0.617,1.1,7
Cody Martin,7,SF,27,7,19.1,0,2,0.389,3.1,0.5,1.6,11
Jalen Suggs,6.92232,SG,21,53,23.5,19,3.5,0.419,4.6,0.496,2.9,18
Jaxson Hayes,6.803012,C,22,47,13,2,1.8,0.551,2.7,0.654,0.7,7.7
Khem Birch,6.6675,C,30,20,8.1,0,1,0.594,1.5,0.6,0.4,5.8
Bennedict Mathurin,6.5868,SG,20,78,28.5,17,5.3,0.434,8.2,0.488,1.5,7.6
Bruce Brown,6.479,SF,26,80,28.5,31,4.5,0.483,6.1,0.548,3.4,15.7
Caleb Martin,6.479,SF,27,71,29.3,49,3.6,0.464,4.4,0.545,1.6,8.2
Joe Ingles,6.479,SF,35,46,22.7,0,2.3,0.435,1,0.556,3.3,18.4
Onyeka Okongwu,6.39516,C,22,80,23.1,18,4,0.638,6.1,0.647,1,5.8
